year,pilgrims_total
1970,1079760
1971,1042027
1972,1216951
1973,1122545
1974,1484975
1975,1557867
1976,1456432
1977,1627589
1978,1899420
1979,2079689
1980,1949634
1981,1943180
1982,2011555
1983,2501706
1984,1664478
1985,1589776
1986,1600475
1987,1619324
1988,1379556
1989,1466995
1990,1483294
1991,1628186
1992,2114217
1993,2033353
1994,1834780
1995,1781370
1996,1865234
1997,1942851
1998,1832114
1999,1831998
2000,1839154
2001,1913263
2002,2041129
2003,2012074
2004,2164469
2005,2258050
2006,2378636
2007,2454325
2008,2408849
2009,2313278
2010,2789399
2011,2927717
2012,3161573
2013,1980249
2014,2085238
2015,1952817
2016,1862909
2017,2352122
2018,2371675
2019,2489406
2020,1000
2021,58745
2022,926062
2023,1845045
2024,1833164
2025,1673230
